predictor,n,estimate_per_1sd,std_error,ci_low,ci_high,p_value,p_adj_fdr
ptype_category_clarification_reason_the_developer_is_requesting_a_general_overview_of_the_provided_files_and_manual_seeking_an_explanatory_summary_rather_than_code_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_seeking_guidance_on_safely_implementing_a_new_rule_without_breaking_existing_ones_which_is_a_clarification_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_specifying_the_expected_data_format_resources_and_requests_which_serves_to_clarify_requirements_for_further_work_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_stating_a_new_requirement_rather_than_asking_for_code_debugging_or_tests_so_it_is_a_clarification_of_the_desired_behavior_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_is_stating_a_rule_about_resource_allocation_clarifying_a_requirement_or_condition_rather_than_asking_for_code_debugging_or_tests_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_provides_a_repository_link_indicating_they_want_the_llm_to_examine_it_for_understanding_or_clarification_of_specifications_rather_than_debugging_code_generation_or_test_creation_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_requests_a_step_by_step_sketch_of_the_function_logic_to_understand_it_before_any_code_is_written_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developer_simply_states_using_terminal_which_serves_to_clarify_the_environment_they_are_working_in_for_any_forthcoming_request_share,125,,,,,,1.0
ptype_category_clarification_reason_the_developers_terse_possibly_misspelled_statement_suggests_they_are_seeking_clarification_about_the_meaning_or_handling_of_invariants_share,125,,,,,,1.0
ptype_category_clarification_reason_the_request_run_the_md_file_ini_docs_is_ambiguous_and_lacks_details_about_what_the_developer_wants_to_achieve_requiring_clarification_share,125,,,,,,1.0
ptype_category_clarification_reason_the_request_run_the_md_file_ini_docs_is_ambiguous_and_lacks_details_requiring_clarification_of_what_exactly_should_be_executed_and_how_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_asks_to_implement_new_scheduling_logic_and_create_tests_which_requires_writing_new_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_asks_to_modify_existing_function_add_new_requirement_and_update_tests_and_documentation_which_requires_generating_updated_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_asks_to_modify_the_implementation_to_enforce_a_new_fridayafter1500_constraint_and_to_update_related_tests_and_documentation_which_requires_generating_new_updated_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_explicitly_requests_code_to_be_written_emphasizing_simplicity_and_readability_without_referencing_specifications_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_provided_a_stub_and_asks_to_implement_the_suggest_slots_function_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_provided_test_cases_and_a_stub_requesting_implementation_of_suggest_slots_function_without_asking_for_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_implementation_of_a_function_and_creation_of_additional_tests_which_involves_generating_new_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_implementation_of_a_new_requirement_and_addition_of_corresponding_tests_indicating_a_need_for_code_and_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_implementation_of_missing_helper_functions_and_correction_of_the_suggest_slots_logic_to_meet_the_described_functionality_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_implementation_of_the_suggest_slots_function_based_on_provided_description_indicating_a_need_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_pseudocode_to_guide_building_the_program_which_is_a_request_for_code_generation_guidance_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_terminal_commands_to_create_a_python_virtual_environment_which_is_a_request_for_code_command_generation_rather_than_clarification_debugging_testing_or_specification_use_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_the_updated_files_indicating_they_want_the_generated_code_output_share,125,,,,,,1.0
ptype_category_code_generation__reason_developer_requests_updated_implementation_tests_and_documentation_to_incorporate_a_new_requirement_which_is_a_code_generation_task_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_a_method_to_convert_time_strings_to_minutes_and_back_which_is_a_request_for_code_implementation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_a_new_implementation_of_the_is_allocation_feasible_function_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_a_new_python_function_implementation_to_suggest_meeting_start_times_which_is_a_request_to_generate_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_a_possible_implementation_of_the_given_function_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_a_readme_which_is_a_request_to_generate_documentation_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_an_example_implementation_of_the_function_is_allocation_feasible_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_an_updated_implementation_indicating_a_request_for_new_code_without_asking_for_clarification_debugging_or_tests_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_developing_a_python_function_based_on_detailed_specifications_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_developing_the_specified_function_providing_specifications_and_acceptance_criteria_indicating_a_request_for_code_implementation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_developing_the_specified_function_providing_system_description_signature_and_acceptance_criteria_indicating_a_request_for_code_implementation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_a_function_indicating_a_request_for_code_generation_without_clarification_debugging_testing_or_referencing_a_specification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_a_function_indicating_a_request_for_new_code_rather_than_clarification_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_a_python_function_based_on_detailed_specifications_indicating_a_request_for_code_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_a_python_function_based_on_detailed_specifications_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_a_specific_python_function_based_on_a_detailed_specification_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_implementing_the_described_function_providing_specifications_and_constraints_indicating_they_need_code_to_be_written_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_in_writing_the_implementation_of_a_function_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_assistance_installing_all_required_dependencies_which_involves_generating_installation_commands_or_scripts_rather_than_debugging_testing_or_referencing_a_specification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_boilerplate_code_to_implement_a_meeting_slot_suggestion_function_requesting_code_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_modifications_and_associated_tests_documents_to_incorporate_a_new_requirement_indicating_a_request_for_new_updated_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_modifications_to_add_a_rule_that_excludes_meetings_at_1500_which_is_a_request_for_new_code_snippets_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_that_runs_files_in_the_terminal_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_updates_to_implement_a_new_fridaytime_constraint_and_to_modify_solution_tests_and_documentation_accordingly_which_is_a_request_for_generating_modifying_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_updates_to_implement_a_new_requirement_and_to_modify_related_tests_and_documentation_which_is_a_request_for_generating_updating_code_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_code_updates_to_meet_new_requirements_including_modifications_to_the_function_tests_and_documentation_which_is_a_request_for_generating_updating_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_functional_requirements_constraints_invariants_negative_requirements_and_then_explicitly_requests_the_final_solution_code_and_test_cases_focusing_on_producing_code_and_accompanying_tests_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_implementing_a_function_according_to_new_requirements_and_also_wants_test_cases_which_involves_generating_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_implementing_is_allocation_feasible_based_on_existing_tests_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_implementing_the_suggest_slots_function_requesting_new_code_to_be_written_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_implementing_the_suggest_slots_function_requesting_new_code_without_indicating_a_need_for_clarification_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_to_develop_a_python_function_based_on_a_detailed_specification_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_to_develop_a_python_function_based_on_a_detailed_specification_indicating_they_need_code_written_rather_than_clarification_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_to_develop_a_python_function_based_on_a_detailed_specification_requesting_code_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_to_develop_the_described_function_providing_specifications_and_requesting_the_implementation_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_help_to_start_writing_the_implementation_of_a_function_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_implementation_of_missing_helper_functions_and_correction_of_the_suggest_slots_logic_to_handle_overlaps_which_requires_generating_new_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_modifications_to_the_solutionpy_file_specifically_editing_suggest_slots_and_adjusting_work_hours_which_is_a_request_for_new_code_changes_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_the_complete_implementation_of_the_suggest_slots_function_to_satisfy_given_test_cases_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_the_implementation_of_the_is_allocation_feasible_function_and_accompanying_test_cases_which_is_a_request_to_generate_code_and_tests_rather_than_clarify_debug_or__generate_tests_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_the_implementation_to_be_rewritten_so_that_the_failing_test_and_all_other_tests_pass_which_is_a_request_for_new_code_rather_than_clarification_or_debugging_of_existing_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_the_simplest_way_to_implement_a_check_indicating_a_request_for_code_or_implementation_guidance_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_code_and_related_tests_docs_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_code_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_generating_modifying_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_code_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_of_the_function_along_with_revised_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_of_the_function_and_related_documentation_which_requires_generating_new_code_to_meet_the_added_requirement_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_requiring_generation_of_new_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_modifying_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_new_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_code_generation_modification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_a_new_requirement_which_requires_generating_new_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_code_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_satisfy_a_new_functional_requirement_which_is_a_request_for_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_satisfy_a_new_requirement_requiring_generation_modification_of_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_tests_and_documentation_to_satisfy_new_requirements_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_to_meet_a_new_requirement_including_modifications_to_code_tests_and_documentation_focusing_on_generating_new_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updated_implementation_to_meet_new_requirements_including_code_changes_and_mentions_tests_docs_which_is_a_request_for_generating_modifying_code_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updates_to_the_existing_function_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_new_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updates_to_the_solution_code_to_implement_a_new_fridayafter1500_rule_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_for_updating_the_existing_function_tests_and_documentation_to_incorporate_a_new_requirement_which_involves_generating_revised_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_how_to_convert_hhmm_to_minutes_and_back_requesting_a_code_solution_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_how_to_implement_a_specific_method_requesting_code_to_be_written_for_the_function_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_how_to_modify_the_existing_function_to_enforce_a_new_requirement_at_least_one_resource_remains_unallocated_which_is_a_request_for_additional_code_logic_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_llm_to_complete_the_stub_function_implementation_to_meet_given_specifications_without_asking_for_clarification_debugging_tests_or_referencing_a_specific_provided_specification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_llm_to_implement_a_python_function_suggest_slots_based_on_given_requirements_indicating_a_request_for_code_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_llm_to_modify_the_existing_function_add_the_new_requirement_and_update_tests_and_documentation_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_llm_to_write_the_implementation_of_is_allocation_feasible_using_the_existing_tests_as_guidance_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_model_to_produce_a_specific_output_two_negative_requirements_which_is_a_content_generation_request_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_model_to_produce_text_by_adding_the_recent_conversation_to_a_transcript_which_is_a_request_for_content_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_the_model_to_simplify_something_which_is_a_request_to_modify_or_rewrite_code_without_debugging_or_testing_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_edit_existing_code_to_add_new_validation_and_handling_logic_which_is_a_request_for_code_modification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_implement_a_python_function_to_determine_feasibility_of_resource_allocation_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_implement_a_specific_function_based_on_given_requirements_requesting_new_code_without_asking_for_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_add_new_functionality_and_update_tests_and_documentation_which_is_a_request_for_generating_updating_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_and_add_tests_documents_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_tests_and_documentation_to_incorporate_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_clarification_debugging_or_solely_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_add_a_new_friday_constraint_which_is_a_request_for_code_changes_rather_than_debugging_clarification_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_incorporate_a_new_friday_time_constraint_and_to_update_related_tests_and_documentation_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_incorporate_a_new_rule_no_meetings_starting_after_1500_on_friday_which_is_a_request_for_additional_code_implementation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_meet_a_new_requirement_and_also_update_tests_and_documentation_which_is_a_request_for_new_code_generation_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_meet_a_new_requirement_and_to_update_tests_and_documentation_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_existing_code_to_meet_a_new_requirement_and_update_related_tests_and_documentation_which_is_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_the_existing_function_and_also_update_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_and_related_artifacts_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_the_existing_function_and_related_documentation_and_tests_to_add_a_new_fridayspecific_constraint_which_requires_generating_updated_code_and_associated_test_cases_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_the_existing_function_and_related_documentation_to_satisfy_a_new_requirement_which_involves_generating_updated_code_and_related_artifacts_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_the_existing_function_and_update_related_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_implementation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_modify_the_solution_tests_and_documentation_to_incorporate_a_new_requirement_indicating_a_request_for_code_changes_rather_than_clarification_debugging_or_solely_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_simplify_something_indicating_a_request_to_modify_or_rewrite_existing_code_for_simplicity_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_existing_code_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_new_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_existing_code_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_revised_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_existing_code_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_existing_code_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_modified_code_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_existing_code_to_meet_a_new_requirement_including_modifying_the_implementation_tests_and_documentation_which_is_a_request_for_new_code_generation_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_and_related_tests_documents_to_meet_a_new_requirement_which_involves_generating_modifying_code_rather_than_debugging_or_clarifying_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_and_related_tests_documents_to_satisfy_a_new_fridayspecific_requirement_which_is_a_request_for_new_code_modifications_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_tests_and_documentation_to_incorporate_a_new_fridayafter1500_constraint_which_requires_generating_revised_code_and_related_artifacts_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_tests_and_documentation_to_incorporate_a_new_requirement_which_is_a_request_for_new_code_and_related_artifacts_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_tests_and_documentation_to_meet_a_new_requirement_which_involves_generating_revised_code_and_related_artifacts_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_existing_function_tests_and_documentation_to_satisfy_a_new_requirement_which_involves_generating_revised_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_function_tests_and_documentation_to_incorporate_a_new_requirement_which_is_a_request_for_new_code_implementation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_function_tests_and_documentation_to_meet_a_new_requirement_which_is_a_request_for_new_code_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_function_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_code_generation_rather_than_clarification_debugging_or_test__generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_asks_to_update_the_function_tests_and_documentation_to_meet_new_requirements_which_is_a_request_for_new_code_generation_rather_than_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_describes_a_function_specification_and_is_likely_requesting_the_llm_to_generate_the_corresponding_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_directly_asks_to_implement_specific_numbered_items_indicating_a_request_for_new_code_generation_without_asking_for_clarification_or_debugging_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_asks_the_model_to_generate_code_implementing_the_described_resource_request_handling_logic_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_asks_the_model_to_write_the_items_numbered_1_5_7_13_and_14_indicating_a_request_for_generated_content_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_asks_to_implement_a_function_indicating_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_requests_the_llm_to_implement_a_specific_function_indicating_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_requests_the_llm_to_implement_a_specific_function_indicating_a_request_for_new_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_explicitly_requests_the_llm_to_write_the_implementation_for_a_function_based_on_a_comment_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_asking_how_to_implement_a_new_functional_requirement_in_code_seeking_guidance_on_adding_logic_to_enforce_the_rule_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_asking_the_llm_to_implement_the_is_allocation_feasible_function_based_on_the_provided_specifications_which_is_a_request_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_asking_to_modify_the_existing_solution_including_code_tests_and_documentation_to_satisfy_a_new_requirement_which_is_a_request_for_new_code_generation_rather_than_debugging_or_clarification_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_encountering_notimplementederror_in_suggest_slots_and_needs_the_function_implemented_to_satisfy_the_failing_tests_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_outlining_functional_requirements_for_handling_meeting_events_sorting_merging_interval_constraints_and_expects_the_llm_to_produce_code_implementing_these_checks_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_a_new_functional_requirement_to_be_implemented_in_the_is_allocated_function_which_entails_generating_or_modifying_code_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_python_function_based_on_a_detailed_specification_indicating_a_need_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_specific_function_based_on_detailed_requirements_indicating_a_need_for_code_generation_rather_than_clarification_debugging_or_test_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_specific_python_function_based_on_a_detailed_specification_indicating_a_need_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_specific_python_function_based_on_a_detailed_specification_indicating_they_need_code_written_rather_than_clarification_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_specific_python_function_based_on_given_specifications_and_acceptance_criteria_indicating_a_need_for_code_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_assistance_to_implement_a_specific_python_function_suggest_slots_and_related_specifications_indicating_a_need_for_code_generation_rather_than_clarification_debugging_or_test_generation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_implementation_of_the_stub_function_suggest_slots_indicating_a_need_for_generated_code_to_fulfill_the_described_functionality_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_new_code_implementation_to_enforce_a_resource_allocation_constraint_along_with_updates_to_tests_and_documentation_focusing_on_generating_code_changes_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_new_code_to_enforce_a_rule_for_friday_meetings_which_is_a_request_to_implement_a_feature_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_the_llm_to_implement_a_specific_function_is_allocation_feasible_in_a_given_file_which_is_a_request_for_new_code_creation_share,125,,,,,,1.0
ptype_category_code_generation__reason_the_developer_is_requesting_the_llm_to_implement_a_specific_part_of_an_operation_code_for_daily_execution_indicating_a_code_generation_request_share,125,,,,,,1.0
